R2: C2=Инклинометрия (план.)  Пилот  |  C11=Инклинометрия (план.)   |  C20=Инклинометрия (факт.) 
R3: C2=Примечание  |  C3=Глубина, м  |  C4=Зен.угол, °  |  C5=Азимут, °  |  C6=TVD, м  |  C7=А.о  |  C8=DLS °/10м  |  C9=Отход, м  |  C11=Примечание  |  C12=Глубина, м  |  C13=Зен.угол, °  |  C14=Азимут, °  |  C15=TVD, м  |  C16=А.о  |  C17=DLS °/10м  |  C18=Отход, м  |  C20=Примечание  |  C21=Глубина, м  |  C22=Зен.угол, °  |  C23=Азимут, °  |  C24=TVD, м  |  C25=А.о  |  C26=DLS °/10м  |  C27=Отход, м
R4: C11=       |  C12=0  |  C13=0  |  C14=0  |  C15=0  |  C16=-60  |  C17=0  |  C18=0
R5: C11=       |  C12=10  |  C13=0  |  C14=0  |  C15=10  |  C16=-50  |  C17=0  |  C18=0
R6: C11=       |  C12=20  |  C13=0  |  C14=0  |  C15=20  |  C16=-40  |  C17=0  |  C18=0
R7: C11=       |  C12=30  |  C13=0  |  C14=0  |  C15=30  |  C16=-30  |  C17=0  |  C18=0
R8: C11=       |  C12=40  |  C13=0  |  C14=0  |  C15=40  |  C16=-20  |  C17=0  |  C18=0
R9: C11=       |  C12=50  |  C13=0  |  C14=0  |  C15=50  |  C16=-10  |  C17=0  |  C18=0
R10: C11=       |  C12=60  |  C13=0  |  C14=0  |  C15=60  |  C16=0  |  C17=0  |  C18=0
R11: C11=       |  C12=70  |  C13=0  |  C14=0  |  C15=70  |  C16=10  |  C17=0  |  C18=0
R12: C11=       |  C12=80  |  C13=0  |  C14=0  |  C15=80  |  C16=20  |  C17=0  |  C18=0
R13: C11=       |  C12=90  |  C13=0  |  C14=0  |  C15=90  |  C16=30  |  C17=0  |  C18=0
R14: C11=       |  C12=100  |  C13=0  |  C14=0  |  C15=100  |  C16=40  |  C17=0  |  C18=0
R15: C11=       |  C12=110  |  C13=0  |  C14=0  |  C15=110  |  C16=50  |  C17=0  |  C18=0
R16: C11=       |  C12=120  |  C13=0  |  C14=0  |  C15=120  |  C16=60  |  C17=0  |  C18=0
R17: C11=       |  C12=130  |  C13=0  |  C14=0  |  C15=130  |  C16=70  |  C17=0  |  C18=0
R18: C11=       |  C12=140  |  C13=0  |  C14=0  |  C15=140  |  C16=80  |  C17=0  |  C18=0
R19: C11=       |  C12=150  |  C13=0  |  C14=0  |  C15=150  |  C16=90  |  C17=0  |  C18=0
R20: C11=       |  C12=160  |  C13=0  |  C14=0  |  C15=160  |  C16=100  |  C17=0  |  C18=0
R21: C11=       |  C12=170  |  C13=0  |  C14=0  |  C15=170  |  C16=110  |  C17=0  |  C18=0
R22: C11=       |  C12=180  |  C13=0  |  C14=0  |  C15=180  |  C16=120  |  C17=0  |  C18=0
R23: C11=       |  C12=190  |  C13=0  |  C14=0  |  C15=190  |  C16=130  |  C17=0  |  C18=0
R24: C11=       |  C12=200  |  C13=0  |  C14=0  |  C15=200  |  C16=140  |  C17=0  |  C18=0
R25: C11=       |  C12=210  |  C13=0  |  C14=0  |  C15=210  |  C16=150  |  C17=0  |  C18=0
R26: C11=       |  C12=220  |  C13=0  |  C14=0  |  C15=220  |  C16=160  |  C17=0  |  C18=0
R27: C11=       |  C12=230  |  C13=0  |  C14=0  |  C15=230  |  C16=170  |  C17=0  |  C18=0
R28: C11=       |  C12=240  |  C13=0  |  C14=0  |  C15=240  |  C16=180  |  C17=0  |  C18=0
R29: C11=       |  C12=250  |  C13=0  |  C14=0  |  C15=250  |  C16=190  |  C17=0  |  C18=0
R30: C11=       |  C12=260  |  C13=0  |  C14=0  |  C15=260  |  C16=200  |  C17=0  |  C18=0
